
=== sparse MLA decode (heads=8, swa=128, topk=512, live rows=26875 = 15.0 MB) ===
batch  block_h                   impl  CTAs     us
    1       16            single-pass     1  284.1
    1       16          split-k s1 w4     1  351.3
    1       16          split-k s1 w8     1  293.4
    1       16          split-k s4 w4     4   95.7
    1       16          split-k s4 w8     4   80.8
    1       16  split-k s16 w4 (live)    16   47.4
    1       16  split-k s16 w8 (live)    16   40.7
    6       16            single-pass     6  276.5
    6       16          split-k s1 w4     6  374.1
    6       16          split-k s1 w8     6  288.6
    6       16   split-k s4 w4 (live)    24  204.9
    6       16   split-k s4 w8 (live)    24  154.2
    6       16         split-k s16 w4    96  279.2
    6       16         split-k s16 w8    96  201.3
    8       16            single-pass     8  280.7
    8       16          split-k s1 w4     8  420.8
    8       16          split-k s1 w8     8  315.6
    8       16   split-k s2 w4 (live)    16  233.7
    8       16   split-k s2 w8 (live)    16  165.3
    8       16          split-k s4 w4    32  248.9
    8       16          split-k s4 w8    32  177.5
    8       16         split-k s16 w4   128  389.5
    8       16         split-k s16 w8   128  288.7
